id,happiness
8001,3.8430796779846887
8002,2.8967330221674894
8003,3.2815385072787393
8004,4.303065809442733
8005,3.3870960820810954
8006,4.214825296959152
8007,3.9693692731975907
8008,4.516606076625813
8009,4.0145719398859665
8010,2.8385229206943516
8011,3.1172936153925286
8012,3.788591228962026
8013,4.186389136751304
8014,3.588019801937244
8015,3.6659052989285406
8016,4.437747190998951
8017,3.6635123803624525
8018,4.4162868476903245
8019,3.87730222889135
8020,4.085737937649723
8021,4.096618476257747
8022,3.7535963820293374
8023,4.0316869706313625
8024,3.5689927802465244
8025,3.123418144311572
8026,4.03216612365761
8027,4.245561703257737
8028,4.07436985324907
8029,4.283326640137496
8030,4.22691753138368
8031,3.94323510391722
8032,4.089954545564324
8033,4.061074192392858
8034,3.550428369565263
8035,3.6539095978922624
8036,4.599068277704243
8037,4.120167709966916
8038,4.126325050328799
8039,3.561114085283971
8040,4.172982481067613
8041,4.303178425994212
8042,3.769918684881054
8043,3.8996585223173694
8044,3.815750045277096
8045,4.271275929650723
8046,3.958925676656914
8047,4.266859442887966
8048,4.030814820123255
8049,4.02580951464834
8050,4.364137023194072
8051,3.6401983438258796
8052,4.270805540924396
8053,3.02482384194108
8054,3.9560687566928596
8055,4.352093894711356
8056,2.770049363978085
8057,3.9422156435182023
8058,3.420075796050904
8059,3.0225465433798666
8060,4.146879148353747
8061,2.947047835078358
8062,3.4874773412546234
8063,4.0195600402040945
8064,4.074703881844584
8065,4.076861571146633
8066,4.165199862718293
8067,4.181855777895919
8068,4.092819966403471
8069,3.5213131111777676
8070,4.139692847809915
8071,3.996540839379409
8072,4.424033305801568
8073,3.7425966033367564
8074,3.9330708275294954
8075,3.3013152127366756
8076,3.6736345482218717
8077,3.5367539838795565
8078,3.695943732560771
8079,4.563242860226047
8080,3.938284711385431
8081,3.9516677720847624
8082,3.9126423497436016
8083,4.421479251761038
8084,4.393462985919571
8085,4.53769149851796
8086,4.124345092142139
8087,4.015690294503514
8088,4.299620479236102
8089,3.545071113058252
8090,3.8336879376369297
8091,4.214337102778389
8092,4.025283079560672
8093,4.157467282406039
8094,4.237751111841353
8095,4.714307757410605
8096,3.3259059961173283
8097,4.22609969761054
8098,3.9035033485917454
8099,3.52380151009592
8100,4.030780778667313
8101,4.246174675498705
8102,4.148594265045167
8103,3.495806218788413
8104,4.548528625912225
8105,4.054666672901306
8106,4.3504221323423105
8107,4.284761410462076
8108,4.087787361872357
8109,3.7756270822881364
8110,3.693493957154902
8111,4.2848143999503545
8112,3.5743206616296717
8113,3.9687780168765636
8114,4.393163059973434
8115,4.050409169037221
8116,4.004489733504361
8117,3.7245751577849613
8118,3.634121117936342
8119,3.9797739764623064
8120,4.5433766226263845
8121,3.103652833118774
8122,4.201693833864023
8123,3.5725795973914907
8124,3.7455945415230105
8125,4.123061111248756
8126,4.557007380326581
8127,1.9056988779798907
8128,3.9936691169627996
8129,3.7840262423343147
8130,3.921054634454244
8131,3.891577043702856
8132,4.1501687898718895
8133,4.2411498314607625
8134,4.270769107180523
8135,4.127111391504194
8136,4.446969467323377
8137,4.140810321060811
8138,3.6237489530835694
8139,3.972593685049671
8140,3.007633807523316
8141,4.029910345080588
8142,3.7426477532821285
8143,4.471077527632065
8144,3.66374467037619
8145,4.117945045700526
8146,1.9607226768183033
8147,4.108888549240523
8148,2.665357535458811
8149,3.580638763056601
